Chinese	Vietnamese
你别想再从我这里拿走任何东西!	nhĩ biệt tưởng tái tòng ngã giá lý nã tẩu nhậm hà đông tây!
想要些什么?	tưởng yếu ta thập yêu?
放心吧,我会用性命守护好你的东西的!	phóng tâm ba, ngã hội dụng tính mệnh thủ hộ hảo nhĩ đích đông tây đích!
看来没什么想要的啊.	khán lai một thập yêu tưởng yếu đích a.
你这负心汉!|真当老娘好欺负?!	nhĩ giá phụ tâm hán!| chân đương lão nương hảo khi phụ?!
{PlayerName}莫慌,Hồng Ngọc来助你!	{PlayerName} mạc hoảng,Hồng Ngọc lai trợ nhĩ!
要我去哪?	yếu ngã khứ na?
好,听你的,我便去【{0}】等你.	hảo, thính nhĩ đích, ngã tiện khứ 【{0}】 đẳng nhĩ.
我还在想你何时会来找我呢.|多陪人家一会嘛~|你不在时,我可寂寞的很啊......	ngã hoàn tại tưởng nhĩ hà thì hội lai hoa ngã ni.| đa bồi nhân gia nhất hội ma ~| nhĩ bất tại thì, ngã khả tịch mịch đích ngận a......
我还在想你何时会来找我呢.|多陪人家一会嘛~|你不在时,我可寂寞的很啊......	ngã hoàn tại tưởng nhĩ hà thì hội lai hoa ngã ni.| đa bồi nhân gia nhất hội ma ~| nhĩ bất tại thì, ngã khả tịch mịch đích ngận a......
你终于想起我了?|你果然不可信......|天下乌鸦一般黑.|当初就不该相信你!	nhĩ chung vu tưởng khởi ngã liễu?| nhĩ quả nhiên bất khả tín......| thiên hạ ô nha nhất bàn hắc.| đương sơ tựu bất cai tương tín nhĩ!
你终于想起我了?|你果然不可信......|天下乌鸦一般黑.|当初就不该相信你!	nhĩ chung vu tưởng khởi ngã liễu?| nhĩ quả nhiên bất khả tín......| thiên hạ ô nha nhất bàn hắc.| đương sơ tựu bất cai tương tín nhĩ!
你别想再从我这里拿走任何东西!	nhĩ biệt tưởng tái tòng ngã giá lý nã tẩu nhậm hà đông tây!
想要些什么?	tưởng yếu ta thập yêu?
你可要好好保管这些东西.	nhĩ khả yếu hảo hảo bảo quản giá ta đông tây.
看来没什么想要的啊.	khán lai một thập yêu tưởng yếu đích a.
你就该留在这里做花肥!|你这负心汉,罪该万死!	nhĩ tựu cai lưu tại giá lý tố hoa phì!| nhĩ giá phụ tâm hán, tội cai vạn tử!
你就该留在这里做花肥!|你这负心汉,罪该万死!	nhĩ tựu cai lưu tại giá lý tố hoa phì!| nhĩ giá phụ tâm hán, tội cai vạn tử!
你就该留在这里做花肥!|你这负心汉,罪该万死!	nhĩ tựu cai lưu tại giá lý tố hoa phì!| nhĩ giá phụ tâm hán, tội cai vạn tử!
你就该留在这里做花肥!|你这负心汉,罪该万死!	nhĩ tựu cai lưu tại giá lý tố hoa phì!| nhĩ giá phụ tâm hán, tội cai vạn tử!
有我在,没人敢动你!	hữu ngã tại, một nhân cảm động nhĩ!
要我去哪?	yếu ngã khứ na?
好,我便去【{0}】等你,你可要记得来找我啊.	hảo, ngã tiện khứ 【{0}】 đẳng nhĩ, nhĩ khả yếu ký đắc lai hoa ngã a.
来得正好,我正无聊呢.|有些日子没见,不知道你的本事如何了?|我正闲得发慌呢,你可得好好陪我.	lai đắc chính hảo, ngã chính vô liêu ni.| hữu ta nhật tử một kiến, bất tri đạo nhĩ đích bản sự như hà liễu?| ngã chính nhàn đắc phát hoảng ni, nhĩ khả đắc hảo hảo bồi ngã.
来得正好,我正无聊呢.|有些日子没见,不知道你的本事如何了?|我正闲得发慌呢,你可得好好陪我.	lai đắc chính hảo, ngã chính vô liêu ni.| hữu ta nhật tử một kiến, bất tri đạo nhĩ đích bản sự như hà liễu?| ngã chính nhàn đắc phát hoảng ni, nhĩ khả đắc hảo hảo bồi ngã.
有话快说,说完便走吧.|事到如今你还想做什么?|你居然还敢大摇大摆出现在我面前?	hữu thoại khoái thuyết, thuyết hoàn tiện tẩu ba.| sự đáo như kim nhĩ hoàn tưởng tố thập yêu?| nhĩ cư nhiên hoàn cảm đại dao đại bãi xuất hiện tại ngã diện tiền?
这里不欢迎你,请出去.|趁我还没动手,快滚吧.	giá lý bất hoan nghênh nhĩ, thỉnh xuất khứ.| sấn ngã hoàn một động thủ, khoái cổn ba.
我的东西没有为你准备的.|别动手动脚的.	ngã đích đông tây một hữu vi nhĩ chuẩn bị đích.| biệt động thủ động cước đích.
想要什么?	tưởng yếu thập yêu?
希望能帮上你的忙.	hi vọng năng bang thượng nhĩ đích mang.
看来没有你喜欢的啊.	khán lai một hữu nhĩ hỉ hoan đích a.
好小子,居然还敢来这里?|既然来了,就别走了!|你花姐可不是好欺负的!	hảo tiểu tử, cư nhiên hoàn cảm lai giá lý?| ký nhiên lai liễu, tựu biệt tẩu liễu!| nhĩ hoa tả khả bất thị hảo khi phụ đích!
好小子,居然还敢来这里?|既然来了,就别走了!|你花姐可不是好欺负的!	hảo tiểu tử, cư nhiên hoàn cảm lai giá lý?| ký nhiên lai liễu, tựu biệt tẩu liễu!| nhĩ hoa tả khả bất thị hảo khi phụ đích!
好小子,居然还敢来这里?|既然来了,就别走了!|你花姐可不是好欺负的!	hảo tiểu tử, cư nhiên hoàn cảm lai giá lý?| ký nhiên lai liễu, tựu biệt tẩu liễu!| nhĩ hoa tả khả bất thị hảo khi phụ đích!
好小子,居然还敢来这里?|你花姐可不是好欺负的!	hảo tiểu tử, cư nhiên hoàn cảm lai giá lý?| nhĩ hoa tả khả bất thị hảo khi phụ đích!
有我在,没人敢动你!	hữu ngã tại, một nhân cảm động nhĩ!
要我去哪?	yếu ngã khứ na?
希望【{0}】里会有和我玩骰子的人.|你可得在我感到无聊之前回【{0}】找我哦.	hi vọng 【{0}】 lý hội hữu hòa ngã ngoạn đầu tử đích nhân.| nhĩ khả đắc tại ngã cảm đáo vô liêu chi tiền hồi 【{0}】 hoa ngã nga.
汪呜——|呜——	uông ô ——| ô ——
汪嗷!|嗷嗷!	uông ngao!| ngao ngao!
有我在,没人敢动你!	hữu ngã tại, một nhân cảm động nhĩ!
ngươi lại tìm lão phu để làm gì? | Đi đi đi, đừng có lảng vảng trước mặt lão phu! | Đừng có碍眼 trước mặt lão phu!	ngươi lại tìm lão phu để làm gì? | Đi đi đi, đừng có lảng vảng trước mặt lão phu! | Đừng có ngại nhãn trước mặt lão phu!
......ngươi là đến chọc giận ta sao? | Đừng có碍眼 ở đây. | Đừng đến quấy rầy ta.	......ngươi là đến chọc giận ta sao? | Đừng có ngại nhãn ở đây. | Đừng đến quấy rầy ta.
......ngươi là đến chọc giận ta sao? | Đừng có碍眼 ở đây. | Đừng đến quấy rầy ta.	......ngươi là đến chọc giận ta sao? | Đừng có ngại nhãn ở đây. | Đừng đến quấy rầy ta.
相公 có việc gì sao?|相公 hôm nay có việc gì vậy?|Bái kiến 相公.	tương công có việc gì sao?| tương công hôm nay có việc gì vậy?|Bái kiến tương công.
相公 có việc gì sao?|相公 hôm nay có việc gì vậy?|Bái kiến 相公.	tương công có việc gì sao?| tương công hôm nay có việc gì vậy?|Bái kiến tương công.
Vậy thì nô gia đi đến 【{0}】 chờ 相公.	Vậy thì nô gia đi đến 【{0}】 chờ tương công.
相公	tương công
相公	tương công
{PlayerSurName}施主别来无恙呀~	{PlayerSurName} thi chủ biệt lai vô dạng nha ~
{PlayerSurName}施主别来无恙呀~	{PlayerSurName} thi chủ biệt lai vô dạng nha ~
{PlayerSurName}施主别来无恙呀~|{PlayerSurName}施主 tìm lão Tôn có việc gì?|He he, biết ngay {PlayerSurName}施主 nhớ đến lão Tôn rồi.	{PlayerSurName} thi chủ biệt lai vô dạng nha ~|{PlayerSurName} thi chủ tìm lão Tôn có việc gì?|He he, biết ngay {PlayerSurName} thi chủ nhớ đến lão Tôn rồi.
{PlayerSurName}施主别来无恙呀~|{PlayerSurName}施主 tìm lão Tôn có việc gì?|He he, biết ngay {PlayerSurName}施主 nhớ đến lão Tôn rồi.	{PlayerSurName} thi chủ biệt lai vô dạng nha ~|{PlayerSurName} thi chủ tìm lão Tôn có việc gì?|He he, biết ngay {PlayerSurName} thi chủ nhớ đến lão Tôn rồi.
{PlayerSurName}施主 tìm lão Tôn lại muốn làm gì nữa?	{PlayerSurName} thi chủ tìm lão Tôn lại muốn làm gì nữa?
{PlayerSurName}施主 tìm lão Tôn lại muốn làm gì nữa?	{PlayerSurName} thi chủ tìm lão Tôn lại muốn làm gì nữa?
Trên người lão Tôn toàn là bảo bối, không muốn đổi với {PlayerSurName}施主 đâu.|Lão Tôn đã từng thấy bảo bối ở Thiên Đình rồi, đồ của {PlayerSurName}施主 chẳng lẽ còn tốt hơn cả Thiên Đình sao?	Trên người lão Tôn toàn là bảo bối, không muốn đổi với {PlayerSurName} thi chủ đâu.|Lão Tôn đã từng thấy bảo bối ở Thiên Đình rồi, đồ của {PlayerSurName} thi chủ chẳng lẽ còn tốt hơn cả Thiên Đình sao?
Không biết {PlayerSurName}施主 trên người có gì tốt?	Không biết {PlayerSurName} thi chủ trên người có gì tốt?
Bảo bối của {PlayerSurName}施主 quả nhiên không tệ.|Lão Tôn cũng mở rộng tầm mắt rồi~	Bảo bối của {PlayerSurName} thi chủ quả nhiên không tệ.|Lão Tôn cũng mở rộng tầm mắt rồi~
Lão Tôn nói rồi đồ của {PlayerSurName}施主 lão Tôn đều không thèm đâu~	Lão Tôn nói rồi đồ của {PlayerSurName} thi chủ lão Tôn đều không thèm đâu~
看来少侠还没准备好.	khán lai thiếu hiệp hoàn một chuẩn bị hảo.
舞刀弄枪,只能徒增伤痛罢了......|抱歉,忘忧还有病人要救治.	vũ đao lộng thương, chích năng đồ tăng thương thống bãi liễu......| bão khiểm, vong ưu hoàn hữu bệnh nhân yếu cứu trị.
点到为止便好.(胜利可以获得{2}江湖历练、{3}名声经验.)	điểm đáo vi chỉ tiện hảo.( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
看起来你身体不适,要我为你治疗一下吗?	khán khởi lai nhĩ thân thể bất thích, yếu ngã vi nhĩ trị liệu nhất hạ mạ?
去去去,别在本少爷面前碍眼!|你是谁啊,和本少爷很熟吗?	khứ khứ khứ, biệt tại bản thiếu gia diện tiền ngại nhãn!| nhĩ thị thùy a, hòa bản thiếu gia ngận thục mạ?
这可是你自找的,待会可别问本少爷讨药费!(胜利可以获得{2}江湖历练、{3}名声经验.)|本少爷丑话说在前面,就算是大哥,本少爷也不会手下留情!(胜利可以获得{2}江湖历练、{3}名声经验.)	giá khả thị nhĩ tự hoa đích, đãi hội khả biệt vấn bản thiếu gia thảo dược phí!( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)| bản thiếu gia sửu thoại thuyết tại tiền diện, tựu toán thị đại ca, bản thiếu gia dã bất hội thủ hạ lưu tình!( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
你真的没问题吗?要不然先休息一下吧.	nhĩ chân đích một vấn đề mạ? yếu bất nhiên tiên hưu tức nhất hạ ba.
我忙得很,没时间陪你过招.|恕我没有此雅兴.	ngã mang đắc ngận, một thì gian bồi nhĩ quá chiêu.| thứ ngã một hữu thử nhã hưng.
看样子你过于沉湎酒色,待你调整好再说吧.	khán dạng tử nhĩ quá vu trầm miện tửu sắc, đãi nhĩ điều chỉnh hảo tái thuyết ba.
哥哥不允许我和外人动手.|我这一身怪力还没办法控制,若是失手伤了你可不好......	ca ca bất doãn hứa ngã hòa ngoại nhân động thủ.| ngã giá nhất thân quái lực hoàn một bạn pháp khống chế, nhược thị thất thủ thương liễu nhĩ khả bất hảo......
那......公子,小心了......(胜利可以获得{2}江湖历练、{3}名声经验.)|我会尽量不伤到公子的.(胜利可以获得{2}江湖历练、{3}名声经验.)	na...... công tử, tiểu tâm liễu......( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)| ngã hội tận lượng bất thương đáo công tử đích.( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
公子脸色好差,要不还是先休息一下吧?	công tử kiểm sắc hảo soa, yếu bất hoàn thị tiên hưu tức nhất hạ ba?
你又是何人,也能妄想让我和你过招?|男人,离我远点.|不管你打的什么算盘,都请收回去吧.	nhĩ hựu thị hà nhân, dã năng vọng tưởng nhượng ngã hòa nhĩ quá chiêu?| nam nhân, ly ngã viễn điểm.| bất quản nhĩ đả đích thập yêu toán bàn, đô thỉnh thu hồi khứ ba.
我不会手下留情的.(胜利可以获得{2}江湖历练、{3}名声经验.)	ngã bất hội thủ hạ lưu tình đích.( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
你如此状态也想和我切磋,是瞧不起我吗?	nhĩ như thử trạng thái dã tưởng hòa ngã thiết tha, thị tiều bất khởi ngã mạ?
你我的关系还没亲密到那般程度吧?	nhĩ ngã đích quan hệ hoàn một thân mật đáo na bàn trình độ ba?
正好,我早就想和你一较高下了.(胜利可以获得{2}江湖历练、{3}名声经验.)	chính hảo, ngã tảo tựu tưởng hòa nhĩ nhất giác cao hạ liễu.( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
你这脸色比我见过的粽子还差,快去休息吧.	nhĩ giá kiểm sắc bỉ ngã kiến quá đích tống tử hoàn soa, khoái khứ hưu tức ba.
我拒绝.	ngã cự tuyệt.
得罪了.(胜利可以获得{2}江湖历练、{3}名声经验.)|请赐教.(胜利可以获得{2}江湖历练、{3}名声经验.)	đắc tội liễu.( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)| thỉnh tứ giáo.( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
你先回去修整下吧.	nhĩ tiên hồi khứ tu chỉnh hạ ba.
和你切磋实在无趣.|我对你没有兴趣.	hòa nhĩ thiết tha thực tại vô thú.| ngã đối nhĩ một hữu hưng thú.
当心了.(胜利可以获得{2}江湖历练、{3}名声经验.)	đương tâm liễu.( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
再提醒我一次,你是谁来着?	tái đề tỉnh ngã nhất thứ, nhĩ thị thùy lai trứ?
和你交手或许能找到下笔的灵感.(胜利可以获得{2}江湖历练、{3}名声经验.)	hòa nhĩ giao thủ hoặc hứa năng hoa đáo hạ bút đích linh cảm.( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
......(似乎没有把你的请求当一回事)	......( tự hồ một hữu bả nhĩ đích thỉnh cầu đương nhất hồi sự )
......(摆出架势)(胜利可以获得{2}江湖历练、{3}名声经验.)	......( bãi xuất giá thế )( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
......(摆了摆手,让你回去休息.)	......( bãi liễu bãi thủ, nhượng nhĩ hồi khứ hưu tức.)
我事务缠身,怎可分心到无关紧要的事情上?	ngã sự vụ triền thân, chẩm khả phân tâm đáo vô quan khẩn yếu đích sự tình thượng?
也好,稍微转换一下心情吧.(胜利可以获得{2}江湖历练、{3}名声经验.)|就当成实战的演习吧.(胜利可以获得{2}江湖历练、{3}名声经验.)	dã hảo, sảo vi chuyển hoán nhất hạ tâm tình ba.( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)| tựu đương thành thực chiến đích diễn tập ba.( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
那便请赐教吧!(胜利可以获得{2}江湖历练、{3}名声经验.)	na tiện thỉnh tứ giáo ba!( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
你脸色很差,真的不要紧吗?	nhĩ kiểm sắc ngận soa, chân đích bất yếu khẩn mạ?
客官要找小人切磋?这不合适吧......|客官别取笑小人了,小人哪能和您比啊?	khách quan yếu hoa tiểu nhân thiết tha? giá bất hợp thích ba......| khách quan biệt thủ tiếu tiểu nhân liễu, tiểu nhân na năng hòa nâm bỉ a?
我、我会尽力而为的!(胜利可以获得{2}江湖历练、{3}名声经验.)	ngã, ngã hội tận lực nhi vi đích!( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
你看起来状态不佳啊,要不坐下来吃点东西?	nhĩ khán khởi lai trạng thái bất giai a, yếu bất tọa hạ lai cật điểm đông tây?
{PlayerSurName}少侠少年英才,小女子怎配得上和{PlayerSurName}少侠交手?	{PlayerSurName} thiếu hiệp thiếu niên anh tài, tiểu nữ tử chẩm phối đắc thượng hòa {PlayerSurName} thiếu hiệp giao thủ?
既然{PlayerSurName}少侠执意如此,小女子只好奉陪了.(胜利可以获得{2}江湖历练、{3}名声经验.)	ký nhiên {PlayerSurName} thiếu hiệp chấp ý như thử, tiểu nữ tử chích hảo phụng bồi liễu.( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
{PlayerSurName}少侠脸色好差,不要紧吧?	{PlayerSurName} thiếu hiệp kiểm sắc hảo soa, bất yếu khẩn ba?
{PlayerSurName}少侠说笑了,老身年近耄耋,早已不乐于舞枪弄棒.	{PlayerSurName} thiếu hiệp thuyết tiếu liễu, lão thân niên cận mạo điệt, tảo dĩ bất nhạc vu vũ thương lộng bổng.
也罢,就让老身领教{PlayerSurName}少侠的本事.(胜利可以获得{2}江湖历练、{3}名声经验.)	dã bãi, tựu nhượng lão thân lĩnh giáo {PlayerSurName} thiếu hiệp đích bản sự.( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
{PlayerSurName}少侠若是不舒服,就先去休息吧.	{PlayerSurName} thiếu hiệp nhược thị bất thư phục, tựu tiên khứ hưu tức ba.
请恕小弟没有兴致.	thỉnh thứ tiểu đệ một hữu hưng trí.
既然{PlayerSurName}兄有此闲情逸致,小弟自然奉陪.(胜利可以获得{2}江湖历练、{3}名声经验.)	ký nhiên {PlayerSurName} huynh hữu thử nhàn tình dật trí, tiểu đệ tự nhiên phụng bồi.( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
等{PlayerSurName}兄准备好了再说吧.	đẳng {PlayerSurName} huynh chuẩn bị hảo liễu tái thuyết ba.
嘎嘎嘎,嘎嘎?|我可不是{PlayerSurName}大侠的对手,请放过我吧.	dát dát dát, dát dát?| ngã khả bất thị {PlayerSurName} đại hiệp đích đối thủ, thỉnh phóng quá ngã ba.
咔咔!那就让我们以武会友吧!(胜利可以获得{2}江湖历练、{3}名声经验.)|刀剑无眼啊,{PlayerSurName}大侠留神了!(胜利可以获得{2}江湖历练、{3}名声经验.)|我可不会手下留情的!(胜利可以获得{2}江湖历练、{3}名声经验.)	ca ca! na tựu nhượng ngã môn dĩ vũ hội hữu ba!( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)| đao kiếm vô nhãn a,{PlayerSurName} đại hiệp lưu thần liễu!( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)| ngã khả bất hội thủ hạ lưu tình đích!( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
等{PlayerSurName}大侠准备好了再说吧.	đẳng {PlayerSurName} đại hiệp chuẩn bị hảo liễu tái thuyết ba.
{PlayerSurName}少侠是山庄贵宾,怎可自降身价,和老夫切磋?	{PlayerSurName} thiếu hiệp thị sơn trang quý tân, chẩm khả tự hàng thân giới, hòa lão phu thiết tha?
老夫早就想领教少侠的高招了!(胜利可以获得{2}江湖历练、{3}名声经验.)	lão phu tảo tựu tưởng lĩnh giáo thiếu hiệp đích cao chiêu liễu!( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
等你调整好状态再来找老夫吧.	đẳng nhĩ điều chỉnh hảo trạng thái tái lai hoa lão phu ba.
军队有令,不许私斗.	quân đội hữu lệnh, bất hứa tư đấu.
刀枪无眼,请小心!(胜利可以获得{2}江湖历练、{3}名声经验.)	đao thương vô nhãn, thỉnh tiểu tâm!( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
你可是我们的特邀嘉宾,要是把你打坏了可怎么办?|和我比武打赢了也不会有奖励的.	nhĩ khả thị ngã môn đích đặc yêu gia tân, yếu thị bả nhĩ đả phôi liễu khả chẩm yêu bạn?| hòa ngã bỉ vũ đả doanh liễu dã bất hội hữu tưởng lệ đích.
这可是你要求的,可别说我没提醒你.(胜利可以获得{2}江湖历练、{3}名声经验.)|好吧,但就算你打赢了我,也没额外的好处就是了.(胜利可以获得{2}江湖历练、{3}名声经验.)|我可是很强的,你确定要和我比试吗?(胜利可以获得{2}江湖历练、{3}名声经验.)	giá khả thị nhĩ yếu cầu đích, khả biệt thuyết ngã một đề tỉnh nhĩ.( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)| hảo ba, đãn tựu toán nhĩ đả doanh liễu ngã, dã một ngạch ngoại đích hảo xử tựu thị liễu.( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)| ngã khả thị ngận cường đích, nhĩ xác định yếu hòa ngã bỉ thí mạ?( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
你要不去找骁骐喝杯咖啡再说?|你体力不够了,等你体力恢复了再说吧.	nhĩ yếu bất khứ hoa kiêu kỳ hát bôi già phê tái thuyết?| nhĩ thể lực bất cú liễu, đẳng nhĩ thể lực khôi phục liễu tái thuyết ba.
本姑娘和你有那么熟吗?	bản cô nương hòa nhĩ hữu na yêu thục mạ?
若是想讨打,我倒是乐意满足你!(胜利可以获得{2}江湖历练、{3}名声经验.)|正巧本姑娘心情不好,你乖乖让本姑娘捅几下!(胜利可以获得{2}江湖历练、{3}名声经验.)	nhược thị tưởng thảo đả, ngã đảo thị nhạc ý mãn túc nhĩ!( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)| chính xảo bản cô nương tâm tình bất hảo, nhĩ quai quai nhượng bản cô nương thống kỷ hạ!( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
你在逞什么强?快回去休息吧.	nhĩ tại sính thập yêu cường? khoái hồi khứ hưu tức ba.
你觉得我像是会随便和人比武的人吗?|有那个工夫不如坐下来玩两盘!	nhĩ giác đắc ngã tượng thị hội tùy tiện hòa nhân bỉ vũ đích nhân mạ?| hữu na cá công phu bất như tọa hạ lai ngoạn lưỡng bàn!
待会受伤了可别说我没提醒你.(胜利可以获得{2}江湖历练、{3}名声经验.)|赶快打吧,打完再坐下来玩两盘.(胜利可以获得{2}江湖历练、{3}名声经验.)	đãi hội thụ thương liễu khả biệt thuyết ngã một đề tỉnh nhĩ.( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)| cản khoái đả ba, đả hoàn tái tọa hạ lai ngoạn lưỡng bàn.( thắng lợi khả dĩ hoạch đắc {2} giang hồ lịch luyện, {3} danh thanh kinh nghiệm.)
你先照照镜子看看自己的脸色吧.	nhĩ tiên chiếu chiếu kính tử khán khán tự kỷ đích kiểm sắc ba.
老娘,不是,你还是别乱动奴家的东西了.	lão nương, bất thị, nhĩ hoàn thị biệt loạn động nô gia đích đông tây liễu.
把手拿走.	bả thủ nã tẩu.
很抱歉,这件东西不能给你.	ngận bão khiểm, giá kiện đông tây bất năng cấp nhĩ.
我的东西是不会给你的.	ngã đích đông tây thị bất hội cấp nhĩ đích.
莫挨老子!|老子身上的东西可不会随便给人!|想要老子的装备,先跟老子搞好关系!	mạc ai lão tử!| lão tử thân thượng đích đông tây khả bất hội tùy tiện cấp nhân!| tưởng yếu lão tử đích trang bị, tiên cân lão tử cảo hảo quan hệ!
你我关系再好一点,我就给你.|想要我的装备?倒也简单,跟我搞好关系就行了.	nhĩ ngã quan hệ tái hảo nhất điểm, ngã tựu cấp nhĩ.| tưởng yếu ngã đích trang bị? đảo dã giản đan, cân ngã cảo hảo quan hệ tựu hành liễu.
你曾于我有恩,但那也是以前了.我不认可如今的你,东西也不会交给你.|想要我的装备,跟我搞好关系再说吧.	nhĩ tằng vu ngã hữu ân, đãn na dã thị dĩ tiền liễu. ngã bất nhận khả như kim đích nhĩ, đông tây dã bất hội giao cấp nhĩ.| tưởng yếu ngã đích trang bị, cân ngã cảo hảo quan hệ tái thuyết ba.
唉,如今的年轻人,总是一句话不问就动手动脚......|你还没获得老夫的信任,老夫不会把东西给你的.|想要我的装备,跟我搞好关系再说吧.	ai, như kim đích niên khinh nhân, tổng thị nhất cú thoại bất vấn tựu động thủ động cước......| nhĩ hoàn một hoạch đắc lão phu đích tín nhậm, lão phu bất hội bả đông tây cấp nhĩ đích.| tưởng yếu ngã đích trang bị, cân ngã cảo hảo quan hệ tái thuyết ba.
老娘可还没答应把东西给你!|别乱动老娘的东西!|老娘可还没原谅你!|想要老娘的装备,跟老娘搞好关系再说吧!	lão nương khả hoàn một đáp ứng bả đông tây cấp nhĩ!| biệt loạn động lão nương đích đông tây!| lão nương khả hoàn một nguyên lượng nhĩ!| tưởng yếu lão nương đích trang bị, cân lão nương cảo hảo quan hệ tái thuyết ba!
想要奴家的东西?那你可得对奴家再好一点~	tưởng yếu nô gia đích đông tây? na nhĩ khả đắc đối nô gia tái hảo nhất điểm ~
嘎嘎嘎,{PlayerSurName}大侠不会在意我身上这件装备的吧?|嘎嘎!{PlayerSurName}大侠可别抢我的东西啊.	dát dát dát,{PlayerSurName} đại hiệp bất hội tại ý ngã thân thượng giá kiện trang bị đích ba?| dát dát!{PlayerSurName} đại hiệp khả biệt thưởng ngã đích đông tây a.
这样东西给你,会给你带来不幸的......	giá dạng đông tây cấp nhĩ, hội cấp nhĩ đái lai bất hạnh đích......
小子有事?	tiểu tử hữu sự?
小子有事?	tiểu tử hữu sự?
小子有事?|臭小子干嘛呢.|找老子干嘛.	tiểu tử hữu sự?| xú tiểu tử cán ma ni.| hoa lão tử cán ma.
嘿,臭小子.|臭小子,精神不错.|好小子有出息了.	hắc, xú tiểu tử.| xú tiểu tử, tinh thần bất thác.| hảo tiểu tử hữu xuất tức liễu.
哼,有屁快放.|有什么事直接说.	hanh, hữu thí khoái phóng.| hữu thập yêu sự trực tiếp thuyết.
你是来讨打的?|最好是真有事.	nhĩ thị lai thảo đả đích?| tối hảo thị chân hữu sự.
反了你了,居然从叫花子手里拿东西.	phản liễu nhĩ liễu, cư nhiên tòng khiếu hoa tử thủ lý nã đông tây.
换的话也不是不行.	hoán đích thoại dã bất thị bất hành.
拿好了,嘿嘿.|丢了别找到我头上.	nã hảo liễu, hắc hắc.| đâu liễu biệt hoa đáo ngã đầu thượng.
你最好不是嫌脏.	nhĩ tối hảo bất thị hiềm tạng.
都很干净的,嘿嘿.|叫花子也有好东西的.	đô ngận cán tịnh đích, hắc hắc.| khiếu hoa tử dã hữu hảo đông tây đích.
这点东西就想换?|再来点.|还不够.	giá điểm đông tây tựu tưởng hoán?| tái lai điểm.| hoàn bất cú.
行,就这样吧.|那就换吧.	hành, tựu giá dạng ba.| na tựu hoán ba.
找死!|老子弄死你!	hoa tử!| lão tử lộng tử nhĩ!
